unix,open,volume_btc,volume_eur,7_days_a,30_days_a,90_days_a,next_day_value,next_week_value
1554768000,4704.75,1612.03246792,7440094.050814573,111.86,35.63,9.96,4670.0,4537.0
1554854400,4615.7,2312.11664772,10924728.039310522,53.74,40.48,11.02,4604.0,4623.0
1554940800,4723.64,2893.28641248,12976273.8285163,47.47,44.14,11.96,4490.0,4664.0
1555027200,4485.4,1405.50888501,6317621.887231449,52.26,47.66,12.74,4502.0,4711.0
1555113600,4502.75,647.06044489,2912749.063276784,13.29,49.07,13.33,4534.0,4729.0
1555200000,4503.35,367.73496151,1678500.4903650894,-10.61,49.97,13.91,4517.0,4734.0
1555286400,4573.38,1365.28757602,6089974.455843291,-33.63,50.42,14.39,4537.0,4756.0
1555372800,4457.51,1494.37175833,6898079.811321612,-29.99,51.11,14.99,4623.0,4865.0
1555459200,4616.04,1176.93156827,5449193.1610901,-27.04,51.06,15.45,4664.0,4916.0
1555545600,4630.43,1304.92639124,6130557.235309432,-11.0,51.5,16.01,4711.0,4754.0
1555632000,4705.22,807.2881454,3808026.619140524,21.99,51.55,16.59,4729.0,4623.0
1555718400,4717.06,353.16013383,1674540.55896699,32.29,51.7,17.19,4734.0,4640.0
1555804800,4743.25,507.12966458,2396517.299422477,38.49,51.43,17.82,4756.0,4641.0
1555891200,4727.65,990.49869228,4738377.359089833,39.92,50.61,18.34,4865.0,4615.0
1555977600,4789.01,1820.56137376,8997105.075439494,41.12,49.34,18.83,4916.0,4655.0
1556064000,4946.99,1519.08822686,7422022.022321663,26.83,47.89,19.36,4754.0,4729.0
1556150400,4887.99,2661.94174636,12297452.14391168,40.28,46.86,19.96,4623.0,4792.0
1556236800,4621.62,2384.45820634,11024351.760356482,37.64,44.42,20.52,4640.0,4942.0
1556323200,4628.95,629.18864148,2926998.14393779,7.95,39.74,20.83,4641.0,5099.0
1556409600,4653.09,611.06682287,2828897.192467293,-16.29,35.26,21.11,4615.0,5133.0
1556496000,4629.43,1359.86366555,6257426.255664981,-31.04,30.46,21.37,4655.0,5098.0
1556582400,4609.32,1344.21419865,6317631.985809175,-47.34,25.55,21.52,4729.0,5112.0
1556668800,4699.87,897.46118201,4270084.4055563,-53.52,20.11,21.6,4792.0,5223.0
1556755200,4757.71,1111.2990158,5362573.4007429,-21.02,14.81,21.74,4942.0,5391.0
